Quarter,Region,Product,Revenue_USD,Units_Sold,Avg_Price_USD,Growth_YoY_Pct,Defect_Rate_Pct
Q1 2025,North America,AL-3047,842000,57000,14.77,12.3,0.21
Q1 2025,North America,TIP-150,198400,62000,3.20,8.1,0.15
Q1 2025,Europe,AL-3047,620000,41500,14.94,9.7,0.18
Q1 2025,Europe,MB-SS-22,214500,33000,6.50,14.2,0.31
Q1 2025,Asia Pacific,TIP-150,310000,96875,3.20,22.5,0.12
Q2 2025,North America,AL-3047,910000,61678,14.76,15.1,0.19
Q2 2025,North America,MB-SS-22,247000,38000,6.50,11.3,0.28
Q2 2025,Europe,TIP-150,175000,54687,3.20,6.2,0.22
Q2 2025,Asia Pacific,AL-3047,540000,36036,14.98,18.9,0.17
Q2 2025,Asia Pacific,MB-SS-22,195000,30000,6.50,25.1,0.14
Q3 2025,North America,AL-3047,975000,65000,15.00,18.4,0.20
Q3 2025,North America,TIP-150,220000,68750,3.20,10.9,0.16
Q3 2025,Europe,AL-3047,710000,47000,15.11,14.5,0.23
Q3 2025,Europe,MB-SS-22,260000,40000,6.50,21.3,0.19
Q3 2025,Asia Pacific,TIP-150,380000,118750,3.20,28.7,0.11
Q4 2025,North America,AL-3047,1050000,70000,15.00,24.5,0.18
Q4 2025,North America,MB-SS-22,280000,43076,6.50,13.4,0.25
Q4 2025,Europe,TIP-150,210000,65625,3.20,14.1,0.20
Q4 2025,Asia Pacific,AL-3047,680000,45000,15.11,26.8,0.15
Q4 2025,Asia Pacific,MB-SS-22,240000,36923,6.50,31.2,0.13
